ts	phase	decision	why	evidence	result
2026-07-21T09:04:35Z	correctness	reproduced the single-point grid mismatch before changing production code	the public config accepted a value rejected by the native kernel	commit 4f9d960	red test confirmed
2026-07-21T09:06:55Z	correctness	opened the grid-validation fix separately from all optimisations	keeps a correctness fix reviewable and keeps numerical experiments off trunk	PR 78	all checks green and mergeable
2026-07-21T09:19:13Z	baseline	captured best-of-three end-to-end timings before optimisation code	every performance claim needs a pre-change comparator	docs/experiments/math-efficiencies.md	baseline saved
2026-07-21T09:19:13Z	workflow	ordered four independent experiments from low-risk allocation removal to high-risk representation changes	each unit can be measured and rejected without carrying it into the next one	docs/experiments/math-efficiencies.md	open
2026-07-21T09:29:00Z	dsyrk-design	continued with the traced minimal contract after three design runners produced no artifact	the panel timed out and inventing a consensus would hide the dropout	/private/tmp/jamma-dsyrk-arena	panel dropout recorded
2026-07-21T09:34:00Z	dsyrk-correctness	separated lower-triangle scaling from upper-triangle mirroring for zero-width batches	the expanded suite exposed upper entries copied before their lower sources were initialized	tests/test_jlinalg_dsyrk.py::TestDsyrkZero::test_k_zero	235 focused tests green after fix
2026-07-21T09:43:50Z	dsyrk-verdict	kept caller-owned DSYRK output for its measured peak-memory reduction	removed one N-by-N temporary without changing numerical results; runtime stayed neutral	docs/experiments/math-efficiencies.md	VERIFIED for memory
2026-07-21T09:52:30Z	dsyrk-coverage	expanded native output validation after coverage review exposed unsafe one-dimensional shape formatting	the wrapper now rejects rank before reading both dimensions and tests non-array, wrong-rank, keyword-only, dtype, layout, writeability, beta, and zero-width behavior	190 focused coverage tests plus 2162 repository tests	all green
2026-07-21T11:12:30Z	mode4-performance	kept shared REML and MLE coarse-grid reductions for the one-covariate split kernel	a same-machine pre-change worktree isolated the kernel from eigendecomposition and I/O variance	docs/experiments/mode4-shared-grid-benchmark.tsv; 15 runs; median 156.870ms before and 141.287ms after; identical full-output digest	VERIFIED
2026-07-21T11:12:30Z	advanced-math-scope	kept block-Gram and thin-spectral changes as tested probes rather than runner code	the identities are accurate but production memory layout and end-to-end speed have not cleared their gates	tests/test_math_efficiency_audit.py	INCONCLUSIVE for integration
2026-07-21T11:15:00Z	final-test-gate	accepted the one-covariate shared-grid implementation after complete regression coverage	focused numerical parity, audit coverage, benchmark equivalence, and the complete suite all agree	2174 passed, 10 skipped, 3 xfailed after merging master; all hooks passed	green
